contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
MSFT241227P00392500,2024-12-23 20:31:04+00:00,392.5,0.09,0.06,0.08,-0.13,-59.090908,49.0,171,0.43848217773437503,False,REGULAR,USD,2024-12-27
MSFT241227P00395000,2024-12-23 20:56:01+00:00,395.0,0.06,0.07,0.09,-0.19,-76.0,823.0,1620,0.42188078125,False,REGULAR,USD,2024-12-27
MSFT241227P00397500,2024-12-23 20:55:16+00:00,397.5,0.08,0.08,0.1,-0.22000001,-73.333336,235.0,183,0.40430283203125,False,REGULAR,USD,2024-12-27
MSFT241227P00400000,2024-12-23 20:47:18+00:00,400.0,0.1,0.09,0.12,-0.23000002,-69.696976,1235.0,2209,0.389654541015625,False,REGULAR,USD,2024-12-27
MSFT241227P00402500,2024-12-23 20:21:23+00:00,402.5,0.15,0.1,0.13,-0.19999999,-57.142853,246.0,389,0.370123486328125,False,REGULAR,USD,2024-12-27
MSFT241227P00405000,2024-12-23 20:58:43+00:00,405.0,0.13,0.12,0.15,-0.27,-67.5,379.0,1116,0.352545537109375,False,REGULAR,USD,2024-12-27
MSFT241227P00407500,2024-12-23 20:56:01+00:00,407.5,0.15,0.14,0.17,-0.32,-68.085106,413.0,278,0.33399103515625,False,REGULAR,USD,2024-12-27
MSFT241227P00410000,2024-12-23 20:58:04+00:00,410.0,0.17,0.17,0.19,-0.32999998,-66.0,776.0,1425,0.31445998046874996,False,REGULAR,USD,2024-12-27
MSFT241227P00412500,2024-12-23 20:38:05+00:00,412.5,0.24,0.01,0.22,-0.33999997,-58.620686,673.0,304,0.2954172021484375,False,REGULAR,USD,2024-12-27
MSFT241227P00415000,2024-12-23 20:58:34+00:00,415.0,0.23,0.2,0.52,-0.41999996,-64.61538,869.0,1274,0.32349309326171866,False,REGULAR,USD,2024-12-27
MSFT241227P00417500,2024-12-23 20:49:16+00:00,417.5,0.25,0.1,0.32,-0.42000002,-62.686565,833.0,524,0.2602613037109375,False,REGULAR,USD,2024-12-27
MSFT241227P00420000,2024-12-23 20:58:34+00:00,420.0,0.36,0.17,0.56,-0.59999996,-62.499996,1248.0,2482,0.26538820556640624,False,REGULAR,USD,2024-12-27
MSFT241227P00422500,2024-12-23 20:54:02+00:00,422.5,0.42,0.28,0.69,-0.49000004,-53.846157,1031.0,627,0.247077841796875,False,REGULAR,USD,2024-12-27
MSFT241227P00425000,2024-12-23 20:58:25+00:00,425.0,0.61,0.56,0.87,-0.53999996,-46.95652,3178.0,1736,0.2291336853027344,False,REGULAR,USD,2024-12-27
MSFT241227P00427500,2024-12-23 20:58:40+00:00,427.5,0.88,0.73,1.17,-0.62,-41.333332,1081.0,1095,0.21497367065429687,False,REGULAR,USD,2024-12-27
MSFT241227P00430000,2024-12-23 20:59:46+00:00,430.0,1.33,1.33,1.59,-0.62,-31.79487,4992.0,4797,0.20069158691406247,False,REGULAR,USD,2024-12-27
MSFT241227P00432500,2024-12-23 20:59:43+00:00,432.5,2.06,1.83,2.3,-0.32000017,-13.445384,2930.0,992,0.19342847595214846,False,REGULAR,USD,2024-12-27
MSFT241227P00435000,2024-12-23 20:59:53+00:00,435.0,3.04,2.7,3.65,-0.26,-7.878788,2424.0,2489,0.20764952514648435,False,REGULAR,USD,2024-12-27
